scenario,method,quantity,horizon,datasets,defined_targets,available,finite_estimates,rmse,bias,covered,coverage,coverage_lower,coverage_upper,median_width,width_available,width_missing,empty_sets,unbounded,diagnostics_passed
smooth,spline_ancova,itt_y,1,100,100,100,100,0.23820871092978538,-0.036759986351441565,96,0.96,0.9016292856411208,0.9843366960084523,0.9799994942948096,100,0,0,0,100
smooth,spline_ancova,itt_y,2,100,100,100,100,0.26030970405047327,-0.0201350290126757,96,0.96,0.9016292856411208,0.9843366960084523,1.0269189022169254,100,0,0,0,100
smooth,spline_ancova,itt_y,3,100,100,100,100,0.23232303126427428,-0.00884646421772987,99,0.99,0.9455138038212946,0.9982325679358593,1.0728667804121788,100,0,0,0,100
smooth,spline_ancova,itt_y,4,100,100,100,100,0.2822524331053994,0.0008432807602377857,96,0.96,0.9016292856411208,0.9843366960084523,1.1239229235031893,100,0,0,0,100
smooth,spline_ancova,itt_d,1,100,100,100,100,0.03134717252664568,-0.00014064127295666085,100,1.0,0.9630065017930143,1.0,0.19742970368064236,100,0,0,0,100
smooth,spline_ancova,itt_d,2,100,100,100,100,0.03134717252664568,-0.00014064127295666085,100,1.0,0.9630065017930143,1.0,0.19742970368064236,100,0,0,0,100
smooth,spline_ancova,itt_d,3,100,100,100,100,0.03134717252664568,-0.00014064127295666085,100,1.0,0.9630065017930143,1.0,0.19742970368064236,100,0,0,0,100
smooth,spline_ancova,itt_d,4,100,100,100,100,0.03134717252664568,-0.00014064127295666085,100,1.0,0.9630065017930143,1.0,0.19742970368064236,100,0,0,0,100
smooth,spline_ancova,wald,1,100,100,100,100,0.3915734790603795,-0.0692906970570189,92,0.92,0.8500189229905127,0.9589065385156194,1.5224869148759903,100,0,0,0,100
smooth,spline_ancova,wald,2,100,100,100,100,0.4252393657712796,-0.0400224767154068,92,0.92,0.8500189229905127,0.9589065385156194,1.5366302411587203,100,0,0,0,100
smooth,spline_ancova,wald,3,100,100,100,100,0.37545395367611845,-0.01624613131719878,95,0.95,0.8882495307680808,0.9784563208456319,1.526198943596839,100,0,0,0,100
smooth,spline_ancova,wald,4,100,100,100,100,0.4398519691738609,-0.0018016562406847258,92,0.92,0.8500189229905127,0.9589065385156194,1.5107609778391937,100,0,0,0,100
smooth,longbet_direct,itt_y,1,100,100,100,100,0.25282465279878924,-0.05949768256037114,97,0.97,0.9154806357094724,0.9897454759759611,0.9823769845230739,100,0,0,0,99
smooth,longbet_direct,itt_y,2,100,100,100,100,0.2962244458809339,-0.04466747853892776,93,0.93,0.8625048526092651,0.9656807389327273,0.9883455333222108,100,0,0,0,96
smooth,longbet_direct,itt_y,3,100,100,100,100,0.28939598974285907,-0.04685923543360904,94,0.94,0.8752318455410406,0.9722138760368118,0.9805927633221045,100,0,0,0,96
smooth,longbet_direct,itt_y,4,100,100,100,100,0.336033551854561,-0.04853574920086267,88,0.88,0.8018790057328857,0.9300059356298052,0.9859826290807312,100,0,0,0,96
